当前时间为： ,2022-08-01 22:27:29.360693

Validation error matrix_RF_yizai1_2018_30: ,"[[19, 2, 7, 0, 1, 0, 0, 0, 0], [0, 15, 0, 4, 3, 0, 0, 0, 0], [2, 4, 3, 2, 3, 2, 0, 0, 1], [1, 1, 1, 12, 3, 2, 0, 0, 1], [1, 1, 0, 2, 16, 4, 0, 0, 1], [1, 3, 2, 6, 6, 1, 0, 1, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 16, 3], [0, 0, 0, 0, 0, 1, 0, 1, 24]]"

Validation overall accuracy_RF_yizai1_2018_30: ,0.585635359116022

Validation kappa accuracy_RF_yizai1_2018_30: ,0.5242184214215617

Validation kappa accuracy_RF_yizai1_2018_30水稻面积为(Km): ,195.17995713050846

当前时间为： ,2022-08-01 22:27:53.204998

Validation error matrix_RF_bajie1_2018_30: ,"[[13, 0, 4, 0, 0, 0, 0, 0, 0], [0, 14, 0, 2, 1, 2, 0, 0, 0], [6, 1, 2, 4, 1, 3, 0, 0, 1], [7, 5, 3, 7, 1, 1, 0, 0, 1], [0, 1, 0, 1, 14, 5, 0, 1, 2], [2, 4, 2, 3, 10, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 15, 0], [0, 0, 0, 0, 0, 0, 0, 0, 14]]"

Validation overall accuracy_RF_bajie1_2018_30: ,0.5161290322580645

Validation kappa accuracy_RF_bajie1_2018_30: ,0.44695528068506185

Validation kappa accuracy_RF_bajie1_2018_30水稻面积为(Km): ,106.8698583519421

当前时间为： ,2022-08-01 22:28:13.000992

Validation error matrix_RF_chousui1_2018_30: ,"[[15, 0, 3, 3, 0, 0, 0, 0, 0], [0, 15, 0, 2, 0, 1, 0, 0, 0], [4, 2, 6, 0, 0, 1, 0, 0, 1], [2, 4, 1, 11, 0, 2, 0, 0, 1], [0, 1, 2, 0, 13, 2, 0, 0, 0], [2, 4, 4, 4, 7, 5, 0, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 15, 4], [0, 0, 0, 0, 1, 0, 0, 1, 23]]"

Validation overall accuracy_RF_chousui1_2018_30: ,0.6204819277108434

Validation kappa accuracy_RF_chousui1_2018_30: ,0.5666514730866449

Validation kappa accuracy_RF_chousui1_2018_30水稻面积为(Km): ,195.065182544875

当前时间为： ,2022-08-01 22:28:32.499509

Validation error matrix_RF_yizai2_2018_30: ,"[[19, 0, 6, 3, 0, 0, 0, 0, 0], [0, 18, 1, 1, 0, 1, 0, 0, 0], [4, 1, 8, 4, 1, 1, 0, 0, 2], [2, 4, 1, 2, 4, 0, 0, 0, 3], [0, 2, 0, 1, 9, 4, 0, 1, 0], [5, 4, 3, 0, 4, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 13, 0], [0, 1, 0, 1, 0, 1, 0, 1, 15]]"

Validation overall accuracy_RF_yizai2_2018_30: ,0.5555555555555556

Validation kappa accuracy_RF_yizai2_2018_30: ,0.48758865248226957

Validation kappa accuracy_RF_yizai2_2018_30水稻面积为(Km): ,256.1938512803955

当前时间为： ,2022-08-01 22:28:56.824854

Validation error matrix_RF_bajie2_2018_30: ,"[[11, 1, 1, 1, 1, 0, 0, 0, 0], [0, 19, 1, 1, 1, 1, 0, 0, 0], [8, 0, 6, 2, 2, 1, 0, 0, 1], [3, 4, 4, 12, 3, 1, 0, 0, 1], [0, 1, 0, 0, 13, 2, 0, 0, 2], [5, 3, 1, 1, 3, 3, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 3, 1, 0, 13, 0], [0, 0, 0, 0, 1, 0, 0, 0, 22]]"

Validation overall accuracy_RF_bajie2_2018_30: ,0.6111111111111112

